dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Squirrel,111,2,0.05,0.1,rawr,False,rep_nodes,1905,False,True,0.31153846153846154
Squirrel,222,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.3269230769230769
Squirrel,222,2,0.05,0.1,rawr,False,rep_nodes,7,False,True,0.31346153846153846
Squirrel,222,2,0.05,0.1,rawr,False,rep_nodes,17,False,True,0.325
Squirrel,222,2,0.05,0.1,rawr,False,rep_nodes,166,False,True,0.3384615384615385
Squirrel,222,2,0.05,0.1,rawr,False,rep_nodes,1905,False,True,0.3192307692307692
Squirrel,333,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.3192307692307692
Squirrel,333,2,0.05,0.1,rawr,False,rep_nodes,7,False,True,0.3153846153846154
Squirrel,333,2,0.05,0.1,rawr,False,rep_nodes,17,False,True,0.325
Squirrel,333,2,0.05,0.1,rawr,False,rep_nodes,166,False,True,0.29423076923076924
Squirrel,333,2,0.05,0.1,rawr,False,rep_nodes,1905,False,True,0.3096153846153846
Squirrel,444,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.3038461538461538
Squirrel,444,2,0.05,0.1,rawr,False,rep_nodes,7,False,True,0.3057692307692308
Squirrel,444,2,0.05,0.1,rawr,False,rep_nodes,17,False,True,0.3153846153846154
Squirrel,444,2,0.05,0.1,rawr,False,rep_nodes,166,False,True,0.32884615384615384
Squirrel,444,2,0.05,0.1,rawr,False,rep_nodes,1905,False,True,0.3057692307692308
Squirrel,555,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.2980769230769231
Squirrel,555,2,0.05,0.1,rawr,False,rep_nodes,7,False,True,0.2980769230769231
Squirrel,555,2,0.05,0.1,rawr,False,rep_nodes,17,False,True,0.3057692307692308
Squirrel,555,2,0.05,0.1,rawr,False,rep_nodes,166,False,True,0.3019230769230769
Squirrel,555,2,0.05,0.1,rawr,False,rep_nodes,1905,False,True,0.29615384615384616
Texas,111,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6666666666666666
Texas,111,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.6666666666666666
Texas,111,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.6111111111111112
Texas,111,2,0.05,0.1,rawr,False,rep_nodes,3,False,True,0.6666666666666666
Texas,111,2,0.05,0.1,rawr,False,rep_nodes,104,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_nodes,3,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_nodes,104,False,True,0.6111111111111112
Texas,333,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.3333333333333333
Texas,333,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.2222222222222222
Texas,333,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.2777777777777778
Texas,333,2,0.05,0.1,rawr,False,rep_nodes,3,False,True,0.2777777777777778
Texas,333,2,0.05,0.1,rawr,False,rep_nodes,104,False,True,0.2222222222222222
Texas,444,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.4444444444444444
Texas,444,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.3888888888888889
Texas,444,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.3888888888888889
Texas,444,2,0.05,0.1,rawr,False,rep_nodes,3,False,True,0.3888888888888889
Texas,444,2,0.05,0.1,rawr,False,rep_nodes,104,False,True,0.3888888888888889
Texas,555,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.5555555555555556
Texas,555,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.5
Texas,555,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.5
Texas,555,2,0.05,0.1,rawr,False,rep_nodes,3,False,True,0.5
Texas,555,2,0.05,0.1,rawr,False,rep_nodes,104,False,True,0.5
Wisconsin,111,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.52
Wisconsin,111,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.64
Wisconsin,111,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.64
Wisconsin,111,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.64
Wisconsin,111,2,0.05,0.1,rawr,False,rep_nodes,122,False,True,0.64
Wisconsin,222,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.52
Wisconsin,222,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.48
Wisconsin,222,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.48
Wisconsin,222,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.48
Wisconsin,222,2,0.05,0.1,rawr,False,rep_nodes,122,False,True,0.48
Wisconsin,333,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.64
Wisconsin,333,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.6
Wisconsin,333,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.6
Wisconsin,333,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.64
Wisconsin,333,2,0.05,0.1,rawr,False,rep_nodes,122,False,True,0.6
Wisconsin,444,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.64
Wisconsin,444,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.68
Wisconsin,444,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.72
Wisconsin,444,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.68
Wisconsin,444,2,0.05,0.1,rawr,False,rep_nodes,122,False,True,0.64
Wisconsin,555,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.44
Wisconsin,555,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.44
Wisconsin,555,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.4
Wisconsin,555,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.44
Wisconsin,555,2,0.05,0.1,rawr,False,rep_nodes,122,False,True,0.4
